
### BEGIN BACKUP REPORT 2016_10_24 10:13:36 ###
Machine	Unix time	Readable time	Last modified directory	Status

max-test	1475682378	Oct  5 10:46:18 2016	.	OK
hc-206d	1477277847	Oct 23 21:57:27 2016	./Users/kemeyer/Library/Preferences	OK
hc-asmussen	1477086631	Oct 21 16:50:31 2016	./Users/jkgajan/Documents/Microsoft User Data/Office 2011 Identities/Main Identity/Data Records/Exchange Sync/0T/0B/0M/0K	OK
hc-brown	1476988723	Oct 20 13:38:43 2016	./Users/jbbrown4/Library/Preferences	OK
hc-brunt	1477205855	Oct 23 01:57:35 2016	./Users/cmbrunt2/Library/Preferences	OK
hc-cremins	1477095855	Oct 21 19:24:15 2016	./Users/rcremins/Library/Preferences	OK
hc-dash5	1475974801	Oct  8 20:00:01 2016	./Users/Guest/Library	OK
hc-lamson	1477075521	Oct 21 13:45:21 2016	./Users/bdlamson/Library/Preferences	OK
hc-fletcher	1477277991	Oct 23 21:59:51 2016	./Users/ehfletch/Library/Preferences	OK
hc-fmp	1477288652	Oct 24 00:57:32 2016	./Users/hcadmin/Library/Preferences	OK
hc-harvey	1477277615	Oct 23 21:53:35 2016	./Users/jrharvey/Library/Google/GoogleSoftwareUpdate/Stats	OK
hc-drainbow	1477279002	Oct 23 22:16:42 2016	./Users/drainbow/Library/Mail/V3/IMAP-david.e.rainbow@imap.gmail.com/[Gmail].mbox/Spam.mbox/05DA5DD9-8EEC-4FE6-BEFC-091EC139D32D/Data/2/0/1/Messages	OK
hc-leveaux	1475689445	Oct  5 12:44:05 2016	.	OK
hc-lindner	1477277929	Oct 23 21:58:49 2016	./Users/plindner/Library/Mail/V3/118B5201-A6C7-4ED9-AA63-00C0BF489993/AirQuality.mbox/OzoneMap.mbox	OK
hc-lyke	1475689551	Oct  5 12:45:51 2016	.	OK
hc-morrisson		OK
hc-myrick	1477277997	Oct 23 21:59:57 2016	./Users/kdmyric2/Library/Preferences	OK
hc-price	1477277466	Oct 23 21:51:06 2016	./Users/dprice3/Library/Preferences	OK
hc-rios	1476993605	Oct 20 15:00:05 2016	./Users/cerios/Documents/Microsoft User Data/Office 2011 Identities/Main Identity/Data Records/Folders/0T/0B/0M/0K	OK
hc-sirrieh	1477278012	Oct 23 22:00:12 2016	./Users/resirrie/Library/Preferences	OK
hc-valier	1477029640	Oct 21 01:00:40 2016	./Users/hkvalier/Library/SyncedPreferences	OK
hc-weber	1476993350	Oct 20 14:55:50 2016	./Users/kweber2/Library/Caches	OK
hc-206C	1477087074	Oct 21 16:57:54 2016	./Users/jhfergus/Library/com.apple.nsurlsessiond/790255CF9F58BEAAA5FA74CA5C8227329B982CC8/5A6675A46D60196A3DE98690AA34FA1D2719FF00	OK
hc-IT	1477278009	Oct 23 22:00:09 2016	./Users/hcadmin/Library/Mail/V3/0EC6C258-FFBE-43DF-B1A0-C1B7368ACA07/Conversation Action Settings.mbox	OK
hc-it-laptop	1477081991	Oct 21 15:33:11 2016	./Users/hcadmin/Library/Preferences	OK
hc-zecher	1475689594	Oct  5 12:46:34 2016	.	OK
hc-maya		OK
hc-keen	1477277979	Oct 23 21:59:39 2016	./Users/sakeen/Library/Preferences	OK
hc-hennessy	1477098002	Oct 21 20:00:02 2016	./Users/jahennes/Library	OK
Dean-Monroes-iMac		OK

### END BACKUP REPORT 13:29:02 ###
